index,n_nerghbors,weight,p,leaf_size,cross_acc,test_acc
379,11,distance,1,38,0.5094958817152824,0.5714285714285714
380,11,distance,2,38,0.5012312708740895,0.5584415584415584
381,11,uniform,1,40,0.41072143157522534,0.4623376623376623
382,11,uniform,2,40,0.40812348476842847,0.45324675324675323
383,11,distance,1,40,0.5094958817152824,0.5714285714285714
384,11,distance,2,40,0.5012312708740895,0.5584415584415584
385,11,uniform,1,42,0.41072143157522534,0.4623376623376623
386,11,uniform,2,42,0.40812348476842847,0.45324675324675323
387,11,distance,1,42,0.5094958817152824,0.5714285714285714
388,11,distance,2,42,0.5012312708740895,0.5584415584415584
389,11,uniform,1,44,0.41072143157522534,0.4623376623376623
390,11,uniform,2,44,0.40812348476842847,0.45324675324675323
391,11,distance,1,44,0.5094958817152824,0.5714285714285714
392,11,distance,2,44,0.5012312708740895,0.5584415584415584
393,11,uniform,1,46,0.41072143157522534,0.4623376623376623
394,11,uniform,2,46,0.40812348476842847,0.45324675324675323
395,11,distance,1,46,0.5094958817152824,0.5714285714285714
396,11,distance,2,46,0.5012312708740895,0.5584415584415584
397,11,uniform,1,48,0.41072143157522534,0.4623376623376623
398,11,uniform,2,48,0.40812348476842847,0.45324675324675323
399,11,distance,1,48,0.5094958817152824,0.5714285714285714
400,11,distance,2,48,0.5012312708740895,0.5584415584415584
401,13,uniform,1,10,0.4072496207196562,0.45714285714285713
402,13,uniform,2,10,0.4063891375390442,0.44805194805194803
403,13,distance,1,10,0.5059383046838067,0.5714285714285714
404,13,distance,2,10,0.4986104563645536,0.551948051948052
405,13,uniform,1,12,0.4072496207196562,0.45714285714285713
406,13,uniform,2,12,0.4063891375390442,0.44805194805194803
407,13,distance,1,12,0.5059383046838067,0.5714285714285714
408,13,distance,2,12,0.4986104563645536,0.551948051948052
409,13,uniform,1,14,0.4072496207196562,0.45714285714285713
410,13,uniform,2,14,0.4063891375390442,0.44805194805194803
411,13,distance,1,14,0.5059383046838067,0.5714285714285714
412,13,distance,2,14,0.4986104563645536,0.551948051948052
413,13,uniform,1,16,0.3993410719891536,0.4584415584415584
414,13,uniform,2,16,0.3980288644918975,0.44805194805194803
415,13,distance,1,16,0.5042469043985506,0.5714285714285714
416,13,distance,2,16,0.4959943133528357,0.5545454545454546
417,13,uniform,1,18,0.3993410719891536,0.4584415584415584
418,13,uniform,2,18,0.3980288644918975,0.44805194805194803
419,13,distance,1,18,0.5042469043985506,0.5714285714285714
420,13,distance,2,18,0.4959943133528357,0.5545454545454546
421,13,uniform,1,20,0.3993410719891536,0.4584415584415584
422,13,uniform,2,20,0.3980288644918975,0.44805194805194803
423,13,distance,1,20,0.5042469043985506,0.5714285714285714
424,13,distance,2,20,0.4959943133528357,0.5545454545454546
425,13,uniform,1,22,0.3993410719891536,0.4584415584415584
426,13,uniform,2,22,0.3980288644918975,0.44805194805194803
427,13,distance,1,22,0.5042469043985506,0.5714285714285714
428,13,distance,2,22,0.4959943133528357,0.5545454545454546
429,13,uniform,1,24,0.3993410719891536,0.4584415584415584
430,13,uniform,2,24,0.3980288644918975,0.44805194805194803
431,13,distance,1,24,0.5042469043985506,0.5714285714285714
432,13,distance,2,24,0.4959943133528357,0.5545454545454546
433,13,uniform,1,26,0.3993410719891536,0.4584415584415584
434,13,uniform,2,26,0.3980288644918975,0.44805194805194803
435,13,distance,1,26,0.5042469043985506,0.5714285714285714
436,13,distance,2,26,0.4959943133528357,0.5545454545454546
437,13,uniform,1,28,0.3993410719891536,0.4584415584415584
438,13,uniform,2,28,0.3980288644918975,0.44805194805194803
439,13,distance,1,28,0.5042469043985506,0.5714285714285714
440,13,distance,2,28,0.4959943133528357,0.5545454545454546
441,13,uniform,1,30,0.3911539308860538,0.44155844155844154
442,13,uniform,2,30,0.3885866619222229,0.43376623376623374
443,13,distance,1,30,0.5003434977986047,0.5636363636363636
444,13,distance,2,30,0.49039239295246506,0.5506493506493506
445,13,uniform,1,32,0.3911539308860538,0.44155844155844154
446,13,uniform,2,32,0.3885866619222229,0.43376623376623374
447,13,distance,1,32,0.5003434977986047,0.5636363636363636
448,13,distance,2,32,0.49039239295246506,0.5506493506493506
449,13,uniform,1,34,0.3911539308860538,0.44155844155844154
450,13,uniform,2,34,0.3885866619222229,0.43376623376623374
451,13,distance,1,34,0.5003434977986047,0.5636363636363636
452,13,distance,2,34,0.49039239295246506,0.5506493506493506
453,13,uniform,1,36,0.3911539308860538,0.44155844155844154
454,13,uniform,2,36,0.3885866619222229,0.43376623376623374
455,13,distance,1,36,0.5003434977986047,0.5636363636363636
456,13,distance,2,36,0.49039239295246506,0.5506493506493506
457,13,uniform,1,38,0.3911539308860538,0.44155844155844154
458,13,uniform,2,38,0.3885866619222229,0.43376623376623374
459,13,distance,1,38,0.5003434977986047,0.5636363636363636
460,13,distance,2,38,0.49039239295246506,0.5506493506493506
461,13,uniform,1,40,0.3911539308860538,0.44155844155844154
462,13,uniform,2,40,0.3885866619222229,0.43376623376623374
463,13,distance,1,40,0.5003434977986047,0.5636363636363636
464,13,distance,2,40,0.49039239295246506,0.5506493506493506
465,13,uniform,1,42,0.3911539308860538,0.44155844155844154
466,13,uniform,2,42,0.3885866619222229,0.43376623376623374
467,13,distance,1,42,0.5003434977986047,0.5636363636363636
468,13,distance,2,42,0.49039239295246506,0.5506493506493506
469,13,uniform,1,44,0.3911539308860538,0.44155844155844154
470,13,uniform,2,44,0.3885866619222229,0.43376623376623374
471,13,distance,1,44,0.5003434977986047,0.5636363636363636
